BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/22/2017,AP,E0490254,FIRST CHOICE COFFEE SERVICES,2/16/2017,2/16/2017,FOOD & BEVERAGE,276.65,2017,FIRST CHOICE COFFEE SERVICES
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,E0498700,CITIBANK GOV CARD SERVICE,2/21/2017,2/21/2017,FOOD & BEVERAGE,368.93,2017,CITIBANK GOV CARD SERVICE
C000059,HON. KEN CALVERT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/23/2017,AP,E0498420,FIRST CHOICE COFFEE SERVICES,3/9/2017,3/9/2017,FOOD & BEVERAGE,190,2017,FIRST CHOICE COFFEE SERVICES
C001037,HON. MICHAEL E. CAPUANO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/27/2017,AP,E0498687,HON MICHAEL E CAPUANO,1/30/2017,1/30/2017,FOOD & BEVERAGE,332.26,2017,HON MICHAEL E CAPUANO
C001112,HON. SALUD O. CARBAJAL,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/23/2017,AP,E0498401,SANDLIN ERIN E.,1/18/2017,1/18/2017,FOOD & BEVERAGE,117.81,2017,SANDLIN ERIN E.
C001097,HON. TONY CARDENAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/25/2017,1/25/2017,FOOD & BEVERAGE,109.7,2017,BOISE CASCADE COMPANY
C001097,HON. TONY CARDENAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/10/2017,AP,E0496650,BUON GUSTO RISTORANTE & BAR,1/6/2017,1/6/2017,FOOD & BEVERAGE,800.01,2017,BUON GUSTO RISTORANTE & BAR
C001097,HON. TONY CARDENAS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,897454,BOISE CASCADE COMPANY,12/19/2016,12/19/2016,FOOD & BEVERAGE,982.9,2016,BOISE CASCADE COMPANY
C001072,HON. ANDRE CARSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-INDIANA BLACK EXPO,1/29/2017,2/28/2017,FOOD & BEVERAGE,750,2017,CITI PCARD-INDIANA BLACK EXPO
C001051,HON. JOHN R. CARTER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/22/2017,AP,E0496360,CITIBANK GOV CARD SERVICE,2/22/2017,2/24/2017,FOOD & BEVERAGE,287.37,2017,CITIBANK GOV CARD SERVICE
C001090,HON. MATTHEW A. CARTWRIGHT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-TULPEHOCKEN SPRING WAT,11/29/2016,12/28/2016,FOOD & BEVERAGE,112.1,2016,CITI PCARD-TULPEHOCKEN SPRING WAT
C001090,HON. MATTHEW A. CARTWRIGHT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/27/2017,AP,E0481349,MARYWOOD UNIVERSITY,12/21/2016,12/21/2016,FOOD & BEVERAGE,471,2016,MARYWOOD UNIVERSITY
C001066,HON. KATHY CASTOR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/30/2017,AP,E0479580,CANTEEN REFRESHMENT SERVICES,1/5/2017,1/5/2017,FOOD & BEVERAGE,111.7,2017,CANTEEN REFRESHMENT SERVICES
C001066,HON. KATHY CASTOR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/10/2017,AP,E0486711,CANTEEN REFRESHMENT SERVICES,11/28/2016,11/28/2016,FOOD & BEVERAGE,111.7,2016,CANTEEN REFRESHMENT SERVICES
C001091,HON. JOAQUIN CASTRO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-LA HACIENDA DE LOS BAR,1/29/2017,2/28/2017,FOOD & BEVERAGE,3155.33,2017,CITI PCARD-LA HACIENDA DE LOS BAR
C001091,HON. JOAQUIN CASTRO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/27/2017,AP,E0499129,MALDONADO ROSE A.,3/8/2017,3/8/2017,FOOD & BEVERAGE,145.96,2017,MALDONADO ROSE A.
C001091,HON. JOAQUIN CASTRO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/5/2017,AP,E0474203,WHITEHEAD BENJAMIN P.,12/9/2016,12/10/2016,FOOD & BEVERAGE,158.33,2016,WHITEHEAD BENJAMIN P.
C000266,HON. STEVE CHABOT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,E0478165,MANOR HOUSE,12/29/2016,12/29/2016,FOOD & BEVERAGE,1525,2016,MANOR HOUSE
C000266,HON. STEVE CHABOT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/27/2017,AP,E0478191,MCCANDLESS DAVID,12/12/2016,12/27/2016,FOOD & BEVERAGE,182,2016,MCCANDLESS DAVID
C001109,HON. LIZ CHENEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/8/2017,AP,E0492168,KING JACKIE R.,1/3/2017,1/17/2017,FOOD & BEVERAGE,223.64,2017,KING JACKIE R.
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/22/2017,AP,E0490025,ARAMARK REFRESHMENT SERVICES,2/3/2017,2/3/2017,FOOD & BEVERAGE,304.2,2017,ARAMARK REFRESHMENT SERVICES
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/20/2017,AP,E0497329,CHENG BECKY H,2/20/2017,2/20/2017,FOOD & BEVERAGE,421.26,2017,CHENG BECKY H
C001080,HON. JUDY CHU,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/20/2017,AP,E0497332,ARAMARK REFRESHMENT SERVICES,3/3/2017,3/3/2017,FOOD & BEVERAGE,138.13,2017,ARAMARK REFRESHMENT SERVICES
C001084,HON. DAVID N. CICILLINE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CAPITOLHOST,1/29/2017,2/28/2017,FOOD & BEVERAGE,345,2017,CITI PCARD-CAPITOLHOST
C001084,HON. DAVID N. CICILLINE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-DUNKIN,1/29/2017,2/28/2017,FOOD & BEVERAGE,108.76,2017,CITI PCARD-DUNKIN
C001084,HON. DAVID N. CICILLINE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/10/2017,AP,E0473953,BIZZACCO CHRISTOPHER J.,12/3/2016,12/10/2016,FOOD & BEVERAGE,229.19,2016,BIZZACCO CHRISTOPHER J.
C001101,HON. KATHERINE M. CLARK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/13/2017,AP,E0477948,PRICE CHRISTIAN W.,12/19/2016,12/19/2016,FOOD & BEVERAGE,488.68,2016,PRICE CHRISTIAN W.
C001067,HON. YVETTE D. CLARKE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/2/2017,AP,E0491965,FLEURIMOND CATERING INC,2/22/2017,2/22/2017,FOOD & BEVERAGE,2400,2017,FLEURIMOND CATERING INC
C001102,HON. CURT CLAWSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/9/2017,AP,E0474528,WRIGHT KARA A.,4/23/2016,4/23/2016,FOOD & BEVERAGE,113.38,2016,WRIGHT KARA A.
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-FIRST WATCH RESTAURANT,1/3/2017,1/28/2017,FOOD & BEVERAGE,134.19,2017,CITI PCARD-FIRST WATCH RESTAURANT
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-Q,1/3/2017,1/28/2017,FOOD & BEVERAGE,155,2017,CITI PCARD-Q
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-THE PEACHTREE LLC,1/3/2017,1/28/2017,FOOD & BEVERAGE,460,2017,CITI PCARD-THE PEACHTREE LLC
C001061,HON. EMANUEL CLEAVER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/6/2017,AP,E0478119,GATES & SONS BARBEQUE OF MISSOURI INC,11/18/2016,11/18/2016,FOOD & BEVERAGE,399.17,2016,GATES & SONS BARBEQUE OF MISSOURI INC
C001077,HON. MIKE COFFMAN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,E0490717,OGG AURORA L.,1/4/2017,1/27/2017,FOOD & BEVERAGE,206.47,2017,OGG AURORA L.
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/3/2017,AP,E0478214,THOMAS MARZIE,1/3/2017,1/3/2017,FOOD & BEVERAGE,120.99,2017,THOMAS MARZIE
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/6/2017,AP,E0476726,DILLIHAY MARILYN J,11/26/2016,11/26/2016,FOOD & BEVERAGE,416.51,2016,DILLIHAY MARILYN J
C001068,HON. STEVE COHEN,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/1/2017,AP,907147,THOMAS MARZIE,1/3/2017,1/3/2017,FOOD & BEVERAGE,120.99,2017,THOMAS MARZIE
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,E0478811,FIRST CHOICE COFFEE SERVICES,1/3/2017,1/3/2017,FOOD & BEVERAGE,106.5,2017,FIRST CHOICE COFFEE SERVICES
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/16/2017,AP,E0496305,FIRST CHOICE COFFEE SERVICES,3/2/2017,3/2/2017,FOOD & BEVERAGE,140.96,2017,FIRST CHOICE COFFEE SERVICES
C001053,HON. TOM COLE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0476258,CITIBANK GOV CARD SERVICE,10/6/2016,10/20/2016,FOOD & BEVERAGE,197,2016,CITIBANK GOV CARD SERVICE
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-KEURIG GREEN MOUNTAIN,11/29/2016,12/28/2016,FOOD & BEVERAGE,177.22,2016,CITI PCARD-KEURIG GREEN MOUNTAIN
C001092,HON. CHRIS COLLINS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-LAVAGNA,11/29/2016,12/28/2016,FOOD & BEVERAGE,429,2016,CITI PCARD-LAVAGNA
C001108,HON. JAMES COMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/2/2017,AP,E0483224,PADUCAH CHAMBER OF COMMERCE,1/27/2017,1/27/2017,FOOD & BEVERAGE,150,2017,PADUCAH CHAMBER OF COMMERCE
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/7/2017,AP,E0493615,MANSOUR MICHAEL,2/1/2017,2/11/2017,FOOD & BEVERAGE,170.61,2017,MANSOUR MICHAEL
C001105,HON. BARBARA COMSTOCK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/15/2017,2/15/2017,FOOD & BEVERAGE,139.35,2017,BOISE CASCADE COMPANY
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/16/2017,AP,902686,BOISE CASCADE COMPANY,1/25/2017,1/25/2017,FOOD & BEVERAGE,169.44,2017,BOISE CASCADE COMPANY
C001062,HON. K. MICHAEL CONAWAY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/24/2017,AP,E0490391,POWELL JO A.,12/2/2016,12/3/2016,FOOD & BEVERAGE,204.17,2016,POWELL JO A.
C001078,"HON. GERALD E. ""GERRY"" CONNOLLY",2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/24/2017,AP,E0490051,BEANETICS COFFEE ROASTERS,2/12/2017,2/12/2017,FOOD & BEVERAGE,143.1,2017,BEANETICS COFFEE ROASTERS
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-ARAMARK BALTIMOREMARYL,1/3/2017,1/28/2017,FOOD & BEVERAGE,193.74,2017,CITI PCARD-ARAMARK BALTIMOREMARYL
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-ARAMARK DETROIT MI,1/3/2017,1/28/2017,FOOD & BEVERAGE,119.33,2017,CITI PCARD-ARAMARK DETROIT MI
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-ARAMARK BALTIMOREMARYL,1/29/2017,2/28/2017,FOOD & BEVERAGE,299.97,2017,CITI PCARD-ARAMARK BALTIMOREMARYL
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CAPITOL HOST,1/29/2017,2/28/2017,FOOD & BEVERAGE,186.25,2017,CITI PCARD-CAPITOL HOST
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-ARAMARK BALTIMOREMARYL,11/29/2016,12/28/2016,FOOD & BEVERAGE,404.83,2016,CITI PCARD-ARAMARK BALTIMOREMARYL
C000714,HON. JOHN CONYERS  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-ARAMARK DETROIT MI,11/29/2016,12/28/2016,FOOD & BEVERAGE,192.61,2016,CITI PCARD-ARAMARK DETROIT MI
C001094,HON. PAUL COOK,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,E0491259,HARTL KELLIE J.,2/13/2017,2/13/2017,FOOD & BEVERAGE,107.99,2017,HARTL KELLIE J.
C001059,HON. JIM COSTA,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/27/2017,AP,E0499400,HON JAMES COSTA,2/28/2017,2/28/2017,FOOD & BEVERAGE,226.5,2017,HON JAMES COSTA
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906777,BOISE CASCADE COMPANY,2/9/2017,2/9/2017,FOOD & BEVERAGE,174.24,2017,BOISE CASCADE COMPANY
C001069,HON. JOE COURTNEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,3/13/2017,3/13/2017,FOOD & BEVERAGE,146.3,2017,BOISE CASCADE COMPANY
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/12/2017,AP,907238,BISMARCK STATE COLLEGE,2/22/2017,2/22/2017,FOOD & BEVERAGE,106.64,2017,BISMARCK STATE COLLEGE
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,3/7/2017,3/7/2017,FOOD & BEVERAGE,132.09,2017,BOISE CASCADE COMPANY
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,897454,BOISE CASCADE COMPANY,12/19/2016,12/19/2016,FOOD & BEVERAGE,133.48,2016,BOISE CASCADE COMPANY
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/18/2017,AP,897410,CAPITOL  HOST,11/28/2016,11/28/2016,FOOD & BEVERAGE,127.38,2016,CAPITOL  HOST
C001096,HON. KEVIN CRAMER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-ACQUA AL,11/29/2016,12/28/2016,FOOD & BEVERAGE,771.92,2016,CITI PCARD-ACQUA AL
C001045,HON. ANDER CRENSHAW,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/4/2017,AP,E0490718,SMITH JACQUELYN E.,10/21/2016,11/18/2016,FOOD & BEVERAGE,368.02,2016,SMITH JACQUELYN E.
C001045,HON. ANDER CRENSHAW,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/4/2017,AP,E0490741,SMITH JACQUELYN E.,10/5/2016,10/20/2016,FOOD & BEVERAGE,159.1,2016,SMITH JACQUELYN E.
C001063,HON. HENRY CUELLAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-MCALISTER'S,1/29/2017,2/28/2017,FOOD & BEVERAGE,103.74,2017,CITI PCARD-MCALISTER'S
C001063,HON. HENRY CUELLAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-MCALISTERS DELI,11/29/2016,12/28/2016,FOOD & BEVERAGE,123.46,2016,CITI PCARD-MCALISTERS DELI
C001063,HON. HENRY CUELLAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-MI TIERRA,11/29/2016,12/28/2016,FOOD & BEVERAGE,111.21,2016,CITI PCARD-MI TIERRA
C001063,HON. HENRY CUELLAR,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-PALENQUE GRILL LA CANT,12/29/2016,1/2/2017,FOOD & BEVERAGE,134.57,2017,CITI PCARD-PALENQUE GRILL LA CANT
C001107,HON. CARLOS CURBELO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/20/2017,AP,E0478566,CAPITOL  HOST,1/3/2017,1/3/2017,FOOD & BEVERAGE,209.37,2017,CAPITOL  HOST
C001107,HON. CARLOS CURBELO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,897454,BOISE CASCADE COMPANY,12/19/2016,12/19/2016,FOOD & BEVERAGE,476.85,2016,BOISE CASCADE COMPANY
C001107,HON. CARLOS CURBELO,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,12/30/2016,12/30/2016,FOOD & BEVERAGE,1512.46,2016,BOISE CASCADE COMPANY
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-TARGET,1/3/2017,1/28/2017,FOOD & BEVERAGE,134.46,2017,CITI PCARD-TARGET
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CHICK-FIL-A,1/29/2017,2/28/2017,FOOD & BEVERAGE,208.45,2017,CITI PCARD-CHICK-FIL-A
D000626,HON. WARREN DAVIDSON,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-PANERA BREAD,11/29/2016,12/28/2016,FOOD & BEVERAGE,290.79,2016,CITI PCARD-PANERA BREAD
D000620,HON. JOHN K. DELANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,2/28/2017,2/28/2017,FOOD & BEVERAGE,114.95,2017,BOISE CASCADE COMPANY
D000620,HON. JOHN K. DELANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/17/2017,2/17/2017,FOOD & BEVERAGE,236.75,2017,BOISE CASCADE COMPANY
D000620,HON. JOHN K. DELANEY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/31/2017,AP,912379,BOISE CASCADE COMPANY,2/24/2017,2/24/2017,FOOD & BEVERAGE,100.1,2017,BOISE CASCADE COMPANY
D000617,HON. SUZAN K. DELBENE,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,897454,BOISE CASCADE COMPANY,12/21/2016,12/21/2016,FOOD & BEVERAGE,179.54,2016,BOISE CASCADE COMPANY
D000627,HON. VAL BUTLER DEMINGS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/2/2017,AP,E0487359,ANDERSON WENDY D.,1/3/2017,1/26/2017,FOOD & BEVERAGE,125.52,2017,ANDERSON WENDY D.
D000612,HON. JEFF DENHAM,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/24/2017,AP,E0480180,HON JEFF DENHAM,1/3/2017,1/3/2017,FOOD & BEVERAGE,100.75,2017,HON JEFF DENHAM
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,897454,BOISE CASCADE COMPANY,12/22/2016,12/22/2016,FOOD & BEVERAGE,720.63,2016,BOISE CASCADE COMPANY
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,12/30/2016,12/30/2016,FOOD & BEVERAGE,736.01,2016,BOISE CASCADE COMPANY
D000623,HON. MARK DESAULNIER,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/13/2017,AP,E0486302,CITIBANK GOV CARD SERVICE,12/5/2016,12/5/2016,FOOD & BEVERAGE,870.91,2016,CITIBANK GOV CARD SERVICE
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/6/2017,AP,E0492438,JONES TINA,2/2/2017,2/9/2017,FOOD & BEVERAGE,102.02,2017,JONES TINA
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/10/2017,AP,E0494048,MOON REBECCA A,1/24/2017,2/23/2017,FOOD & BEVERAGE,105.27,2017,MOON REBECCA A
D000616,HON. SCOTT DESJARLAIS,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/11/2017,AP,E0475552,JONES TINA,12/10/2016,12/30/2016,FOOD & BEVERAGE,173.79,2016,JONES TINA
D000610,HON. THEODORE E. DEUTCH,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/4/2017,AP,E0491161,LIPSICH WENDI E.,2/10/2017,2/10/2017,FOOD & BEVERAGE,100.88,2017,LIPSICH WENDI E.
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,E0497051,CITIBANK GOV CARD SERVICE,2/22/2017,2/22/2017,FOOD & BEVERAGE,116.34,2017,CITIBANK GOV CARD SERVICE
D000600,HON. MARIO DIAZ-BALART,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/21/2017,AP,E0497057,CITIBANK GOV CARD SERVICE,2/23/2017,2/23/2017,FOOD & BEVERAGE,104,2017,CITIBANK GOV CARD SERVICE
D000399,HON. LLOYD DOGGETT,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/3/2017,AP,E0473312,QUENCH,1/1/2017,12/31/2017,FOOD & BEVERAGE,299.64,2017,QUENCH
D000625,HON. DANIEL M. DONOVAN  JR.,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/24/2017,AP,E0480233,HILTON GARDEN HILL NEW YORK/STATEN ISLAN,12/13/2016,12/13/2016,FOOD & BEVERAGE,894.96,2016,HILTON GARDEN HILL NEW YORK/STATEN ISLAN
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/25/2017,AP,900788,BOISE CASCADE COMPANY,1/3/2017,1/3/2017,FOOD & BEVERAGE,240.01,2017,BOISE CASCADE COMPANY
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906777,BOISE CASCADE COMPANY,1/24/2017,1/24/2017,FOOD & BEVERAGE,106.3,2017,BOISE CASCADE COMPANY
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2/27/2017,AP,906777,BOISE CASCADE COMPANY,2/9/2017,2/9/2017,FOOD & BEVERAGE,123.92,2017,BOISE CASCADE COMPANY
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3/28/2017,AP,912383,BOISE CASCADE COMPANY,3/10/2017,3/10/2017,FOOD & BEVERAGE,133.42,2017,BOISE CASCADE COMPANY
D000614,HON. SEAN P. DUFFY,2017Q1,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,1/17/2017,AP,897454,BOISE CASCADE COMPANY,12/22/2016,12/22/2016,FOOD & BEVERAGE,154.9,2016,BOISE CASCADE COMPANY
